Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC02155788,-26.7458,3.56319,13.428,-0.0821208,0,-1.25353,-13.7469,784.705,1,0.656173,11,0.420421,0.487597,0.512403,3870,961,1168,55,254,74,78,0,631,151,201,11,109,33,46,0,0,0,0,0,138,37,42,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0,6.0,21.0,2.0,10.0,16.0,-174162.531826,2.0,19.0,0.0,0.0,0.0,0.0,-4.7,61.69,0.04,87.99,547.66,0
ZINC08435140,-20.9611,2.39773,15.0579,-9.60746,-2.04815,-0.781211,-18.4435,728.934,3,0.651564,3,0.480635,0.478261,0.521739,2853,740,861,37,1076,279,352,23,629,161,191,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0.0,13.0,7.0,0.0,2.0,108242.65012,5.0,27.0,2.0,0.0,0.0,0.0,-5.0,53.77,0.30,139.08,608.95,0
ZINC06177106,-29.5155,12.5853,12.1313,-0.923217,0,0,-12.1848,775.083,0,0.667475,11,0.427068,0.597937,0.402063,3684,913,1146,64,819,203,246,13,551,137,176,4,0,0,0,0,0,0,0,0,167,41,48,2,0,0,0,0,0,0,0,0,0,0,0,0,27.0,7.0,27.0,2.0,8.0,23.0,172464.055366,1.0,26.0,0.0,0.0,1.0,0.0,-1.4,59.96,0.09,114.86,606.77,0
ZINC02890864,-19.9321,7.10289,8.34795,-6.00735,0,-1.57294,-16.6263,684.125,1,0.655075,11,0.468127,0.462499,0.537501,2955,727,864,56,347,87,103,7,800,193,246,17,113,36,36,0,0,0,0,0,157,43,49,2,105,28,37,0,0,0,0,0,0,0,0,0,33.0,3.0,4.0,2.0,6.0,3.0,-128496.594085,2.0,10.0,0.0,0.0,0.0,0.0,-2.3,56.36,0.28,93.73,577.20,0
ZINC08437832,-25.8351,4.58126,6.86497,-0.175843,0,0,-18.5253,700.639,0,0.662588,8,0.438577,0.568459,0.431541,3033,703,872,69,470,109,127,13,149,32,40,4,0,0,0,0,0,0,0,0,0,0,0,0,158,38,50,1,175,37,46,3,0,0,0,0,59.0,4.0,4.0,1.0,12.0,14.0,-825.938218926,1.0,39.0,1.0,0.0,0.0,0.0,-6.1,40.62,0.21,45.03,485.51,0
ZINC00623493,-18.6899,1.70597,5.40317,-1.23901,0,0,-14.6767,671.615,0,0.66447,5,0.473971,0.53623,0.46377,2912,704,880,66,456,112,136,12,354,79,98,10,330,87,137,6,0,0,0,0,131,28,43,3,287,65,82,5,0,0,0,0,0,0,0,0,53.0,1.0,1.0,0.0,0.0,2.0,98476.0380845,0.0,28.0,1.0,0.0,0.0,0.0,1.3,64.78,0.26,53.60,547.05,0
ZINC00643564,-23.611,4.20766,16.5349,-9.54147,-1.66168,0,-17.4319,845.627,1,0.665816,11,0.37458,0.561555,0.438445,2985,744,889,41,109,31,40,0,874,240,273,10,0,0,0,0,0,0,0,0,125,36,48,0,0,0,0,0,194,42,48,5,0,0,0,0,20.0,3.0,23.0,1.0,2.0,8.0,-262034.614118,1.0,10.0,0.0,0.0,0.0,0.0,1.1,48.35,0.26,89.98,556.37,0
ZINC02163126,-28.1671,22.8587,15.1864,-0.199718,-1.58574,0,-3.4999,894.546,1,0.680841,3,0.407811,0.598044,0.401956,3831,962,1147,65,636,165,194,7,382,107,132,1,0,0,0,0,0,0,0,0,0,0,0,0,83,22,27,0,0,0,0,0,0,0,0,0,19.0,1.0,44.0,5.0,4.0,15.0,-260458.794355,4.0,24.0,0.0,0.0,1.0,0.0,-4.0,55.20,0.20,84.39,650.91,0
ZINC08438811,-28.3417,3.45157,11.3886,-7.28938,0,-1.26286,-24.7474,978.368,1,0.663769,10,0.426051,0.555154,0.444846,5527,1372,1658,100,589,143,177,12,580,138,174,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,4.0,13.0,10.0,7.0,9.0,-106653.671812,3.0,29.0,1.0,0.0,0.0,0.0,2.9,66.12,0.30,83.14,865.63,0
ZINC00675355,-21.8447,2.75584,15.0702,-14.4991,-1.71845,0,-23.0439,704.137,1,0.673236,9,0.401808,0.584845,0.415155,2577,640,775,37,1137,279,355,21,654,162,203,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,11.0,26.0,0.0,21.0,6.0,-49792.8427053,1.0,13.0,0.0,0.0,0.0,0.0,-5.5,47.95,0.25,129.56,484.80,0
ZINC08435427,-24.4422,24.3201,9.04836,-1.3252,0,-1.38202,-5.99327,807.079,1,0.652699,7,0.384921,0.577395,0.422605,3593,881,1057,59,420,112,134,6,477,112,149,11,0,0,0,0,0,0,0,0,0,0,0,0,190,40,48,5,0,0,0,0,0,0,0,0,26.0,5.0,10.0,0.0,7.0,3.0,-145297.294145,2.0,11.0,0.0,0.0,0.0,0.0,-.3,51.63,0.09,91.91,522.13,0
ZINC02184622,-23.7124,4.60344,4.07555,-1.82033,0,0,-19.8338,705.518,0,0.679875,7,0.376095,0.513631,0.486369,4303,1057,1282,81,286,69,98,5,332,81,99,5,0,0,0,0,0,0,0,0,145,32,49,2,0,0,0,0,0,0,0,0,0,0,0,0,22.0,7.0,6.0,6.0,13.0,6.0,60229.6642172,0.0,21.0,0.0,0.0,0.0,0.0,1.4,48.63,0.04,52.08,543.88,0
